"name","name","no","total_given","total_completed","completion_rate"
Yeni takım,PreSprinting,0,2,0,0.00000000000000000000
Yeni takım,Start Me Up (Change),1,2,0,0.00000000000000000000
XYZ,PreSprinting,0,4,0,0.00000000000000000000
XYZ,Start Me Up (Change),1,4,0,0.00000000000000000000
XYZ,Let's Get It Started (Agile),2,2,2,100.0000000000000000
XYZ,Sprint #2,2,6,0,0.00000000000000000000
Workflow,PreSprinting,0,6,0,0.00000000000000000000
Workflow,Start Me Up (Change),1,2,0,0.00000000000000000000
Workflow,Sprint #2,2,2,0,0.00000000000000000000
Vodafone CSR Team,PreSprinting,0,2,0,0.00000000000000000000
Transformation team,PreSprinting,0,2,2,100.0000000000000000
Transformation team,Start Me Up (Change),1,4,0,0.00000000000000000000
Transformation team,Sprint #1,1,6,4,66.6666666666666667
The Nimbleer,PreSprinting,0,6,2,33.3333333333333333
The Nimbleer,Start Me Up (Change),1,4,2,50.0000000000000000
Team One,PreSprinting,0,6,2,33.3333333333333333
Team One,Start Me Up (Change),1,4,2,50.0000000000000000
Team Anka,PreSprinting,0,6,4,66.6666666666666667
Team Anka,Sprint #1,1,2,0,0.00000000000000000000
Team Anka,Start Me Up (Change),1,4,2,50.0000000000000000
Team Anka,Let's Get It Started (Agile),2,6,0,0.00000000000000000000
Team A,Pre Sprinting,0,6,0,0.00000000000000000000
Team A,Start Me Up,1,4,0,0.00000000000000000000
team 2,PreSprinting,0,6,4,66.6666666666666667
team 2,Start Me Up (Change),1,4,2,50.0000000000000000
team 1,PreSprinting,0,6,4,66.6666666666666667
team 1,Start Me Up (Change),1,4,2,50.0000000000000000
Takım1,Sprint #1,1,2,0,0.00000000000000000000
Takım1,Start Me Up (Change),1,4,0,0.00000000000000000000
Sprint Benders,Sprint #1,1,8,6,75.0000000000000000
Sprint Benders,Sprint #2,2,12,10,83.3333333333333333
Sprint Benders,Sprint #3,3,18,12,66.6666666666666667
Sprint Benders,I Wanna Rock (Scrum),3,6,6,100.0000000000000000
Sprint Benders,Don't Stop Believin' (Origins of Scrum),4,4,4,100.0000000000000000
Sprint Benders,Sprint #4,4,10,6,60.0000000000000000
Sprint Benders,Keep On Running,5,2,2,100.0000000000000000
Sprint Benders,I want to break free,6,2,0,0.00000000000000000000
Sprint Benders,Smooth,7,4,2,50.0000000000000000
Sprint Benders,Shine On You Crazy Diamond,8,2,0,0.00000000000000000000
Sprint Benders,Pinball Wizard,12,2,0,0.00000000000000000000
Sample Team,PreSprinting,0,6,0,0.00000000000000000000
Sample Team,Start Me Up (Change),1,4,0,0.00000000000000000000
SampleTeam,PreSprinting,0,6,4,66.6666666666666667
SampleTeam,Start Me Up (Change),1,4,2,50.0000000000000000
SampleTeam,Sprint #1,1,2,0,0.00000000000000000000
SampleTeam,Let's Get It Started (Agile),2,6,4,66.6666666666666667
SampleTeam,I Wanna Rock (Scrum),3,6,4,66.6666666666666667
Pes,PreSprinting,0,2,0,0.00000000000000000000
Pes,Sprint #1,1,8,0,0.00000000000000000000
Pes,Start Me Up (Change),1,4,0,0.00000000000000000000
Pes,Let's Get It Started (Agile),2,4,0,0.00000000000000000000
Pes,I Wanna Rock (Scrum),3,4,0,0.00000000000000000000
Paul,Sprint #2,2,2,0,0.00000000000000000000
Onabu Team,PreSprinting,0,6,0,0.00000000000000000000
Onabu Team,Sprint #1,1,4,2,50.0000000000000000
Onabu Team,Start Me Up (Change),1,4,4,100.0000000000000000
Onabu Team,Let's Get It Started (Agile),2,6,6,100.0000000000000000
Onabu Team,I Wanna Rock (Scrum),3,6,2,33.3333333333333333
Onabu Team,Don't Stop Believin' (Origins of Scrum),4,4,2,50.0000000000000000
Onabu Team,Sprint #4,4,2,0,0.00000000000000000000
Onabu Team,Keep On Running,5,4,4,100.0000000000000000
Onabu Team,I want to break free,6,2,0,0.00000000000000000000
Onabu Team,Keep Pushin',13,2,0,0.00000000000000000000
onabu,PreSprinting,0,2,0,0.00000000000000000000
onabu,Start Me Up (Change),1,4,2,50.0000000000000000
onabu,Let's Get It Started (Agile),2,6,6,100.0000000000000000
onabu,I Wanna Rock (Scrum),3,6,4,66.6666666666666667
onabu,Don't Stop Believin' (Origins of Scrum),4,4,2,50.0000000000000000
onabu,Keep On Running,5,4,0,0.00000000000000000000
onabu,Shine On You Crazy Diamond,8,2,2,100.0000000000000000
Ödemeler,PreSprinting,0,2,0,0.00000000000000000000
Ödemeler,PreSprinting,0,6,2,33.3333333333333333
Ödemeler,Sprint #1,1,14,10,71.4285714285714286
Ödemeler,Sprint #1,1,2,0,0.00000000000000000000
Ödemeler,Start Me Up (Change),1,4,4,100.0000000000000000
