"name","name","total_given","total_completed","completion_rate"
Mobile,Planning,3,2,66.6666666666666667
Mobile,Review,2,2,100.0000000000000000
ati,Planning,1,0,0.00000000000000000000
ati,Review,3,1,33.3333333333333333
Kare,Planning,6,3,50.0000000000000000
Kare,Review,11,6,54.5454545454545455
Team Anka,Planning,4,2,50.0000000000000000
Team Anka,Review,5,1,20.0000000000000000
OBH2,Planning,5,0,0.00000000000000000000
OBH2,Review,5,0,0.00000000000000000000
Kampanyalar,Planning,9,7,77.7777777777777778
Kampanyalar,Review,37,24,64.8648648648648649
Pes,Planning,2,0,0.00000000000000000000
Pes,Review,9,0,0.00000000000000000000
XYZ,Planning,2,0,0.00000000000000000000
XYZ,Review,6,1,16.6666666666666667
"1st Team",Planning,1,0,0.00000000000000000000
SampleTeam,Planning,4,2,50.0000000000000000
SampleTeam,Review,8,5,62.5000000000000000
Argonauts,Planning,1,0,0.00000000000000000000
Argonauts,Review,1,0,0.00000000000000000000
Takım1,Planning,1,0,0.00000000000000000000
Takım1,Review,2,0,0.00000000000000000000
Money Faturacılar,Planning,2,0,0.00000000000000000000
Money Faturacılar,Review,25,5,20.0000000000000000
Deneme,Review,5,0,0.00000000000000000000
Onabu Team,Planning,4,0,0.00000000000000000000
Onabu Team,Review,16,10,62.5000000000000000
Hesaplaşma,Planning,1,0,0.00000000000000000000
Hesaplaşma,Review,3,0,0.00000000000000000000
Team A,Planning,3,0,0.00000000000000000000
Team A,Review,2,0,0.00000000000000000000
OBH,Planning,5,0,0.00000000000000000000
OBH,Review,5,0,0.00000000000000000000
Deneme,Planning,5,0,0.00000000000000000000
Deneme,Review,6,0,0.00000000000000000000
Yeni takım,Planning,1,0,0.00000000000000000000
Yeni takım,Review,1,0,0.00000000000000000000
Camunda,Planning,4,0,0.00000000000000000000
Camunda,Review,1,0,0.00000000000000000000
Çözeriz A.Ş,Planning,2,0,0.00000000000000000000
Çözeriz A.Ş,Review,25,5,20.0000000000000000
b,Planning,4,0,0.00000000000000000000
b,Review,16,10,62.5000000000000000
Sample Team,Planning,3,0,0.00000000000000000000
Sample Team,Review,2,0,0.00000000000000000000
Ödemeler,Planning,1,0,0.00000000000000000000
Ödemeler,Review,3,0,0.00000000000000000000
Agile Studio,Planning,3,1,33.3333333333333333
Agile Studio,Review,10,4,40.0000000000000000
Big Boss,Planning,1,0,0.00000000000000000000
Big Boss,Review,2,0,0.00000000000000000000
Workflow,Planning,4,0,0.00000000000000000000
Workflow,Review,1,0,0.00000000000000000000
My Team,Planning,1,0,0.00000000000000000000
Ödemeler,Planning,9,7,77.7777777777777778
Ödemeler,Review,37,24,64.8648648648648649
H,Review,1,0,0.00000000000000000000
Vodafone CSR Team,Planning,1,0,0.00000000000000000000
"1",Planning,3,2,66.6666666666666667
"1",Review,2,0,0.00000000000000000000
ArcelorMittal SAP,Planning,10,5,50.0000000000000000
ArcelorMittal SAP,Review,26,20,76.9230769230769231
Sprint Benders,Planning,3,2,66.6666666666666667
Sprint Benders,Review,32,22,68.7500000000000000
agile,Planning,4,0,0.00000000000000000000
agile,Review,16,10,62.5000000000000000
The Nimbleer,Planning,3,1,33.3333333333333333
The Nimbleer,Review,2,1,50.0000000000000000
Team One,Planning,3,1,33.3333333333333333
Team One,Review,2,1,50.0000000000000000
cycle,Planning,6,3,50.0000000000000000
cycle,Review,11,6,54.5454545454545455
Transformation team,Planning,2,1,50.0000000000000000
Transformation team,Review,4,2,50.0000000000000000
Login Shield,Planning,9,7,77.7777777777777778
Login Shield,Review,37,24,64.8648648648648649
Fly,Planning,2,0,0.00000000000000000000
Fly,Review,1,0,0.00000000000000000000
Kaizen,Planning,5,4,80.0000000000000000
Kaizen,Review,3,1,33.3333333333333333
Asdfg,Review,5,0,0.00000000000000000000
Denemedeneme,Planning,3,2,66.6666666666666667
Denemedeneme,Review,4,1,25.0000000000000000
team 1,Planning,3,2,66.6666666666666667
team 1,Review,2,1,50.0000000000000000
onabu,Planning,1,0,0.00000000000000000000
onabu,Review,13,8,61.5384615384615385
My team,Planning,2,1,50.0000000000000000
My team,Review,4,2,50.0000000000000000
Kalt,Planning,2,0,0.00000000000000000000
Kalt,Review,9,0,0.00000000000000000000
team 2,Planning,3,2,66.6666666666666667
team 2,Review,2,1,50.0000000000000000
Asd,Review,5,0,0.00000000000000000000
No name 2,Planning,3,1,33.3333333333333333
No name 2,Review,2,1,50.0000000000000000
Deneme,Planning,4,1,25.0000000000000000
Deneme,Review,19,3,15.7894736842105263
Alpha - İpek,Planning,4,1,25.0000000000000000
Alpha - İpek,Review,19,3,15.7894736842105263
Paul,Review,1,0,0.00000000000000000000
Mauro Icardi,Planning,1,0,0.00000000000000000000
